nom,dci,laboratoire,amm,is_available,classe,sous_classe,forme,gp_status,veic,tableau,nb_fabricants_dci,hhi_dci,nb_amm_dci,nb_presentations_dci,nb_dci_sous_classe,anciennete_amm,duree_conservation_mois,indications_len,nb_indications,est_generique,est_biosimilaire,est_injectable,est_chronique,indications,dosage,presentation,date_amm
ABIRATERONE ACETATE NEAPOLIS,ABIRATERONE,NEAPOLIS PHARMA,9393191H,1,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,Comprimé,Générique,Vital,A,3,0.3333333333333333,3,1,11,4.6,24.0,250,1,1,0,0,0,ABIRATERONE ACETATE NEAPOLIS est indiqué en association avec le prednisone ou le prednisolone dans le traitement du cancer métastatique de la prostate résistant  à la castration chez les hommes adultes dont la maladie a progressé pendant  ou après un,250 mg,B/120,2021-07-12
ABREMIA,ABIRATERONE,HIKMA Pharmaceuticals,6653771H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,Comprimé,Générique,Vital,A,3,0.3333333333333333,3,1,11,3.5,36.0,250,1,1,0,0,0,ABREMIA est indiqué en association avec le prednisone ou le prednisolone dans le traitement du cancer métastatique de la prostate résistant  à la castration chez les hommes adultes dont la maladie a progressé pendant  ou après une chimiothérapie à ba,250 mg,B/120,2022-09-09
ABUFENE,BETA-ALANINE,BOUCHARA-RECORDATI,7313041,1,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,AUTRES MEDICAMENTS GYNECOLOGIQUES,Comprimé,Princeps,Essentiel,O,1,1.0,1,1,6,26.1,36.0,53,1,0,0,0,0,Utilisé dans les bouffées de chaleur de la ménopause.,400 MG,B/30,2000-01-18
ACACIPRO 500,CIPROFLOXACINE,SAIPH,9163911,0,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),Comprimé pelliculé sécable,Générique,Essentiel,A,18,0.07555555555555556,45,17,63,14.3,24.0,250,6,1,0,0,0,Chez l'adulte : - Infections des voies respiratoires basses dues à des bactéries à Gram - : * exacerbations de bronchopneumopathie chronique obstructive ; * Infections bronchopulmonaires en cas de mucoviscidose ou de bronchectasie ; * pneumonie. - Ot,500 mg,B/10,2011-10-27
ACAMANTINE 625,AMOXICILLINE+ACIDE CLAVULANIQUE,SAIPH,9163901,0,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),Comprimé pelliculé,Générique,Essentiel,A,12,0.12897959183673469,70,37,63,14.3,24.0,250,8,1,0,0,0,"- OTITES MOYENNES AIGUES , OTITES RECIDIVANTES; - SINUSITES; - ANGINES RECIDIVANTES, AMYGDALITE CHRONIQUE; - SURINFECTIONS DE BRONCHITES AIGUES DU PATIENT A RISQUE, NOTAMMENT ETHYLIQUE CHRONIQUE, TABAGIQUE, AGE DE PLUS DE 65 ANS, EN CAS DE RISQUE EVO",500 mg/125mg,B/12,2011-11-16
ACARBOSE ADWYA,ACARBOSE,ADWYA,9044442,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,Comprimé,Générique,Essentiel,A,9,0.1111111111111111,18,1,26,5.6,24.0,163,2,1,0,0,1,"Traitement du diabète non insulino-dépendant, en complément  du régime alimentaire, en monothérapie comme en association aux autres thérapeutiques antidiabétiques.",100 mg,B/90,2020-07-20
ACARBOSE ADWYA,ACARBOSE,ADWYA,9044441,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,Comprimé,Générique,Essentiel,A,9,0.1111111111111111,18,1,26,5.6,24.0,163,2,1,0,0,1,"Traitement du diabète non insulino-dépendant, en complément  du régime alimentaire, en monothérapie comme en association aux autres thérapeutiques antidiabétiques.",50 mg,B/90,2020-07-20
ACARLYSE,ACARBOSE,SAIPH,9164132,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,Comprimé,Générique,Essentiel,A,9,0.1111111111111111,18,1,26,6.6,24.0,162,2,1,0,0,1,"Traitement du dibète non insulino-dépendant, en complément  du régime alimentaire, en monothérapie comme en association aux autres thérapeutiques antidiabétiques.",100 mg,B/90,2019-07-31
ACARLYSE,ACARBOSE,SAIPH,9164131,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,Comprimé,Générique,Essentiel,A,9,0.1111111111111111,18,1,26,6.6,24.0,162,2,1,0,0,1,"Traitement du dibète non insulino-dépendant, en complément  du régime alimentaire, en monothérapie comme en association aux autres thérapeutiques antidiabétiques.",50 mg,B/90,2019-07-31
ACCOFIL,FILGRASTIM,ACCORD HEALTHCARE LTD,16923101H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSTIMULANTS,Solution injectable,Biosimilaire,Vital,A,5,0.20987654320987653,9,5,9,8.7,36.0,249,1,0,1,1,0,ACCOFIL est indiqué pour la réduction de la durée des neutropénies et de l'incidence des neutropénies fébriles chez les patients traités par une chimiothérapie cytotoxique pour une pathologie maligne (à l'exception des leucémies myéloïdes chroniques,30 MU,B/5/0.5 ml,2017-06-28
ACCOFIL,FILGRASTIM,ACCORD HEALTHCARE LTD,16923102H,0,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSTIMULANTS,Solution injectable,Biosimilaire,Vital,A,5,0.20987654320987653,9,5,9,8.7,36.0,249,1,0,1,1,0,ACCOFIL est indiqué pour la réduction de la durée des neutropénies et de l'incidence des neutropénies fébriles chez les patients traités par une chimiothérapie cytotoxique pour une pathologie maligne (à l'exception des leucémies myéloïdes chroniques,48 MU,B/5/0.5 ml,2017-06-28
ACEBUTOLOL MYLAN,ACEBUTOLOL,MYLAN S.A.S,4923031,0,SYSTEME CARDIOVASCULAIRE,AGENTS ß-BLOQUANTS,Comprimé pelliculé,Générique,Essentiel,A,6,0.17355371900826447,11,5,14,24.9,36.0,250,4,1,0,0,1,"- HYPERTENSION ARTERIELLE - PROPHYLAXIE DES CRISES D'ANGOR D'EFFORT - TRAITEMENT DE CERTAINS TROUBLES DU RYTHME: SUPRAVENTRICULAIRES (TACHYCARDIE, FLUTTERS ET FIBRILLATIONS AURICULAIRES, TACHYCARDIES JONCTIONNELLES) OU VENTRICULAIRES (EXTRASYSTOLIE V",400 MG,B/30,2001-04-07
ACETETE DE TERLIPRESSINE EVER PHARMA,TERLIPRESSINE,EVER Valinject GmbH,23033011H,0,"HORMONES SYSTEMIQUES, HORMONES SEXUELLES EXCLUES","HORMONES HYPOPHYSAIRES, HYPOTHALAMIQUES ET ANALOGUES",Solution injectable,Générique,Essentiel,A,2,0.5,2,2,7,3.7,24.0,250,3,1,0,1,1,"- Traitement d'urgence des hémorragies digestives par rupture des varices osophagiennes, en l'attente d'un traitement endoscopique. - Traitement du syndrome hépatorénal de type 1, caractérisé par une insuffisance rénale aiguë et spontanée, chez les m",0.2 mg/ml,B/5,2022-06-17
ACETYLSALICYLATE DE LYSINE LABESFAL,ACETYLSALICYLATE DE LYSINE,LABESFAL - Laboratorios Almiro S.A,4333041,1,SYSTEME NERVEUX,ANALGESIQUES,Pdre p.prep.injectable,Générique,Essentiel,O,5,0.28719723183391005,17,10,27,21.7,36.0,194,4,1,0,1,1,- Traitement de courte durée des douleurs intenses - Traitement des rhumatismes inflammatoires - Traitement symptomatique de la fièvre lorsque l'administration par voie orale n'est pas possible.,900 MG,B/6+6 Solvant/5ML,2004-06-30
ACETYLSALICYLATE DE LYSINE LABESFAL,ACETYLSALICYLATE DE LYSINE,LABESFAL - Laboratorios Almiro S.A,4333042,1,SYSTEME NERVEUX,ANALGESIQUES,Pdre p.prep.injectable,Générique,Essentiel,O,5,0.28719723183391005,17,10,27,20.9,36.0,194,4,1,0,1,1,- Traitement de courte durée des douleurs intenses - Traitement des rhumatismes inflammatoires - Traitement symptomatique de la fièvre lorsque l'administration par voie orale n'est pas possible.,900 MG,B/50+50 Solvant/5ML,2005-04-05
ACICLOVIR OPALIA,ACICLOVIR,OPALIA PHARMA,9023511,1,MEDICAMENTS DERMATOLOGIQUES,ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE,Creme dermique,Générique,Intermédiaire,A,9,0.14681440443213295,19,11,10,27.3,36.0,250,3,1,0,0,0,1/ Elles découlent de l'activité de l'aciclovir sur les virus Herpes simplex de types 1 et 2 : herpès génital : traitement de la primo-infection et des récurrences ultérieures éventuelles ; herpès labial : dans la plupart des études réalisées lors de,5%,T/5 GR,1998-10-29
ACICLOVIR OPALIA,ACICLOVIR,OPALIA PHARMA,9023512,1,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),Suspension buvable,Générique,Essentiel,A,9,0.14681440443213295,19,11,15,25.6,36.0,250,3,1,0,0,0,1/ Sujet immunodéprimé : Prévention des infections à virus Herpes simplex (HSV). 2/ Sujet immunocompétent : a/ Infections cutanées ou muqueuses : - Traitement des infections herpétiques cutanées ou muqueuses sévères (il s'agit en général de primo-inf,8 %,FL/125 ML,2000-07-29
ACICLOVIR OPALIA,ACICLOVIR,OPALIA PHARMA,9023513,1,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),Comprimé,Générique,Essentiel,A,9,0.14681440443213295,19,11,15,19.2,36.0,250,4,1,0,0,0,1/ Sujet immunodéprimé Prévention des infections à Virus Herpes Simplex (HSV); 2/ Sujet immunocompétent: A/ Infections cutanées ou muqueuses: - Traitement des infections herpétiques cutanées ou muqueuses sévères (il s'agit en général de primo-infecti,200 MG,B/30,2006-12-18
ACICLOVIR VIATRIS,ACICLOVIR,VIATRIS SANTE,4923101H,0,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),Pdre p.prep.injectable,Générique,Essentiel,A,9,0.14681440443213295,19,11,15,24.6,36.0,250,7,1,0,1,0,"1- Chez le sujet immunodéprimé: - Infections à virus Varicelle Zona (VZV), - Infections à virus Herpes Simplex (HSV), 2- Chez le sujet immunocompétent: * Infections à VZV - Zona grave par l'extension ou par l'évolutivité des lésions, - Varicelle chez",250 MG,B/5 FL Sans solvant,2001-08-10
ACIDE ASCORBIQUE A 10 POUR CENT RENAUDIN,ACIDE ASCORBIQUE,RENAUDIN,7713011H,0,APPAREIL DIGESTIF ET METABOLISME,VITAMINES,Solution injectable,Générique,Confort,O,2,0.6800000000000002,5,5,17,29.3,24.0,250,4,1,0,1,1,"- TRAITEMENT DES ASTHENIES AU COURS DES CORYZAS, ETATS GRIPPAUX, CONVALESCENCES, - TRAITEMENT DU SCORBUT, - SUPPLEMENTATION EN VITAMINE C LORS DE L'ALIMENTATION PARENTERALE TOTALE OU DANS LES CARENCES LIEES A L'ALIMENTATION DESEQUILIBREE OU INSUFFISA",500 MG/5ML,B/100/5ML,1996-11-22
ACIDE ZOLÉDRONIQUE ACCORD,ACIDE ZOLÉDRONIQUE,ACCORD HEALTHCARE LTD,16923081H,0,MUSCLE ET SQUELETTE,MEDICAMENTS POUR LES MALADIES DES OS,Solution injectable,Générique,Essentiel,A,4,0.33333333333333337,6,4,7,8.7,30.0,206,1,1,0,1,0,Traitement des patients présentant des métastases osseuses de tumeurs solides et lors de myélome multiple en association à un traitement antinéoplasique standard. Traitement de l'hypercalcémie maligne(HCM).,4 MG/5 ML,B/1 flacon,2017-06-16
ACIRYL,PREGABALINE,OPALIA PHARMA,9024091,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Gélule,Générique,Vital,A,16,0.0759769886927197,71,17,13,9.2,36.0,249,3,1,0,0,1,Douleurs neuropathiques: - ACIRYL est indiqué dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte. Epilepsie: - ACIRYL est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielles,75 mg,B/15,2016-12-29
ACIRYL,PREGABALINE,OPALIA PHARMA,9024092,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Gélule,Générique,Vital,A,16,0.0759769886927197,71,17,13,9.2,36.0,249,3,1,0,0,1,Douleurs neuropathiques: - ACIRYL est indiqué dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte. Epilepsie: - ACIRYL est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielles,150 mg,B/60,2016-12-29
ACIRYL,PREGABALINE,OPALIA PHARMA,9024093,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Gélule,Générique,Vital,A,16,0.0759769886927197,71,17,13,7.4,36.0,250,3,1,0,0,1,Douleurs neuropathiques: - ACIRYL  est indiqué dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte. Epilepsie: - ACIRYL  est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielle,75 mg,B/60,2018-10-05
ACIRYL,PREGABALINE,OPALIA PHARMA,9024094,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Gélule,Générique,Vital,A,16,0.0759769886927197,71,17,13,7.4,36.0,249,3,1,0,0,1,Douleurs neuropathiques: - ACIRYL est indiqué dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte. Epilepsie: - ACIRYL est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielles,150 mg,B/30,2018-10-05
ACIRYL,PREGABALINE,OPALIA PHARMA,9024096,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Gélule,Générique,Vital,A,16,0.0759769886927197,71,17,13,3.1,24.0,250,3,1,0,0,1,DOULEUR NEUROPATHIQUES: - ACIRYL est indiqué dans le traitement des douleurs neuropathiques et centrales chez l'adulte. EPILEPSIE : - ACIRYL est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielles avec ou sans g,300mg,B/ 60,2023-02-09
ACIRYL,PREGABALINE,OPALIA PHARMA,9024095,1,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,Solution buvable,Générique,Vital,A,16,0.0759769886927197,71,17,13,3.3,24.0,250,3,1,0,0,1,-ACIRYL est indiqué dans le traitement  des douleurs neuropathiques périphériques et centrales chez l'adulte. Epilepsie: - ACIRYL est indiqué chez l'adulte en association dans le traitement des crises épileptiques partielles avec ou sans généralisati,2%,FL/250ML,2022-11-24
ACLASTA,ACIDE ZOLÉDRONIQUE,Sandoz Pharmaceuticals AG,28583021,1,MUSCLE ET SQUELETTE,MEDICAMENTS POUR LES MALADIES DES OS,Solution injectable pour perfusion,Princeps,Essentiel,A,4,0.33333333333333337,6,4,7,2.5,36.0,250,4,0,0,1,0,- Traitement de l'ostéoporose chez les femmes postménopausées et chez les hommes - Prévention des fractures cliniques après fracture du col du fémur chez les hommes et chez les femmes - Traitement et prévention de l'ostéoporose induite par les glucoc,5mg / 100ml,FL/100ml,2023-08-24
ACNODERM,ADAPALENE,SIMED,9083801,0,MEDICAMENTS DERMATOLOGIQUES,PREPARATIONS ANTI-ACNEIQUES,Gel dermique,Générique,Intermédiaire,A,2,0.5555555555555556,3,2,8,4.5,24.0,78,1,1,0,0,0,"Acné de sévérité moyenne, particulièrement indiqué dans l'acné rétentionnelle.",0.1%,T/30 g,2021-09-14
ACTAFON,PHLOROGLUCINOL,ACT PHARMA,9363031,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,Comprimé orodispersible,Générique,Intermédiaire,O,14,0.08163265306122448,28,5,15,11.2,24.0,250,4,1,0,0,1,- Traitement symptomatique des douleurs liées aux troubles fonctionnels du tube digestif et des voies biliaires. - Traitement des manifestations spasmodiques et douloureuses aiguës des voies urinaires: coliques néphrétiques. - Traitement symptomatiqu,80 mg,B/20,2014-12-30
ACTAFON,PHLOROGLUCINOL,ACT PHARMA,9363032,1,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,Comprimé orodispersible,Générique,Intermédiaire,O,14,0.08163265306122448,28,5,15,10.0,24.0,250,4,1,0,0,1,- Traitement symptomatique des douleurs liées aux troubles fonctionnels du tube digestif et des voies biliaires. - Traitement des manifestations spasmodiques et douloureuses aiguës des voies urinaires: coliques néphrétiques. - Traitement symptomatiqu,160 mg,B/12,2016-02-17
ACTAFON SL,PHLOROGLUCINOL DIHYDRATE,ACT PHARMA,9363033,0,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,Comprimé orodispersible,Générique,Intermédiaire,O,1,1.0,1,1,15,6.2,24.0,250,4,1,0,0,1,- Traitement symptomatique des douleurs liées aux troubles fonctionnels du tube digestif et des voies biliaires. - Traitement des manifestations spasmodiques et douloureuses aiguës des voies urinaires: coliques néphrétiques. - Traitement symptomatiqu,80 mg,B/10,2019-12-20
ACTALGINE,ACIDE ACETYLSALICYLIQUE,ACT PHARMA,9363151,0,SYSTEME NERVEUX,ANALGESIQUES,Comprimé,Générique,Essentiel,O,4,0.30612244897959184,7,6,27,4.0,24.0,92,1,1,0,0,1,Traitement symptomatique des douleurs d'intensité légère à modérée et/ou des états fébriles.,500 mg,B/18,2022-03-07
ACTAPULGITE,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,9253012,1,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX",Poudre pour suspension orale,Princeps,Intermédiaire,O,1,1.0,3,3,22,26.0,36.0,125,1,0,0,0,1,"Traitement symptomatique des manifestations fonctionnelles intestinales chez l'adulte, notamment avec météorisme et diarrhée.",3 GR,B/16 sachets,2000-03-14
ACTAPULGITE ENFANTS ET ADULTES,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,925303H,1,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX",Poudre pour suspension orale,Princeps,Intermédiaire,O,1,1.0,3,3,22,25.1,36.0,125,1,0,0,0,1,"Traitement symptomatique des manifestations fonctionnelles intestinales chez l'adulte, notamment avec météorisme et diarrhée.",3 GR,B/100 sachets,2001-01-08
ACTAPULGITE NOURRISSONS,ATTAPULGITE DE MORMOIRON ACTIVEE,TERIAK,9253011,0,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX",Poudre pour suspension orale,Princeps,Intermédiaire,O,1,1.0,3,3,22,26.0,36.0,110,1,0,0,0,1,Traitement symptomatique des manifestations fonctionnelles intestinales notamment avec météorisme et diarrhée.,1 GR,B/20 sachets,2000-03-14
ACTEMRA,TACILIZUMAB,Roche Pharma (Schweiz) AG,6993201H,1,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,Solution injectable pour perfusion,Princeps,Vital,A,1,1.0,3,3,26,13.0,30.0,250,1,0,0,1,1,Traitement de la polyarthrite rhumatoïde active de forme modérée à sévère chez les patients adultes n'ayant pas présenté une réponse suffisante au traitement par DMARD ou par inhibiteurs du facteur de nécrose tumorale (TNF). Actemra peut être utilisé,80 mg/4 ml,B/1FL/4 ml,2013-03-18
ACTEMRA,TACILIZUMAB,Roche Pharma (Schweiz) AG,6993203H,1,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,Solution injectable pour perfusion,Princeps,Vital,A,1,1.0,3,3,26,13.0,24.0,250,1,0,0,1,1,Traitement de la polyarthrite rhumatoïde active de forme modérée à sévère chez les patients adultes n'ayant pas présenté une réponse suffisante au traitement par DMARD ou par inhibiteurs du facteur de nécrose tumorale (TNF). Actemra peut être utilisé,400 mg/20 ml,B/1FL/20 ml,2013-03-18
ACTEMRA,TACILIZUMAB,Roche Pharma (Schweiz) AG,6993202H,1,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,Solution injectable pour perfusion,Princeps,Vital,A,1,1.0,3,3,26,13.0,24.0,250,1,0,0,1,1,Traitement de la polyarthrite rhumatoïde active de forme modérée à sévère chez les patients adultes n'ayant pas présenté une réponse suffisante au traitement par DMARD ou par inhibiteurs du facteur de nécrose tumorale (TNF). Actemra peut être utilisé,200 mg/10 ml,B/1FL/10 ml,2013-03-18
ACTEMRA,TOCILIZUMAB,Roche Pharma (Schweiz) AG,6993204H,1,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,Solution injectable,Princeps,Essentiel,A,1,1.0,1,1,26,6.5,24.0,249,1,0,0,1,1,Polyarthrite rhumatoïde(PR). ACTEMRA est indiqué pour réduire les signes et les symptômes chez les patients adultes présentant une polyarthrite rhumatoide active modérée à sévère qui n'ont pas suffisamment répondu ou présenté des effets indésirables,162 mg/0.9 ml,sous cutanée B/4 seringues Pré-remplis,2019-08-22
ACTHEANE,ACTAEA RACEMOSA-ARNICA MONTANA-GLONOINUM-LACHESIS MUTUS-SANG,BOIRON,6873631,1,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,Comprimé,Princeps,Confort,O,1,1.0,1,1,26,8.1,60.0,126,1,0,0,0,0,Médicament homéopathique traditionnellement utilisé dans les bouffées de chaleur et les troubles fonctionnels de la ménopause.,250 mg,B/120,2018-01-15
ACTICIL,AMBROXOL,GALPHARMA,9223452,0,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,Solution buvable,Générique,Confort,O,6,0.18000000000000005,10,7,31,4.7,24.0,175,1,1,0,0,1,"Traitement des troubles de la sécrétion bronchique de l'adulte, notamment au cours des affections bronchiques aigues et des épisodes aigus des bronchopneumopathies chroniques.",0.6%,FL/150 ml,2021-06-16
